,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0005144509996171109,0.0,5.0,5,0.1,80
1,1,0.007674708998820279,0.0,11.0,5,0.1,80
2,2,0.008105116998194717,0.0,17.0,5,0.1,80
3,3,0.008563445997424424,0.0,23.0,5,0.1,80
4,4,0.00905258299826528,0.0,29.0,5,0.1,80
5,5,0.009572994997142814,0.0,35.0,5,0.1,80
6,6,0.010109535996889463,0.0,41.0,5,0.1,80
7,7,0.010573807998298435,0.0,47.0,5,0.1,80
8,8,0.01105162199746701,0.0,53.0,5,0.1,80
9,9,0.011479132997919805,0.0,59.0,5,0.1,80
10,10,0.01189626599807525,0.0,65.0,5,0.1,80
11,11,0.012327658998401603,0.0,71.0,5,0.1,80
12,12,0.012769820998073556,0.0,77.0,5,0.1,80
13,13,0.013345887997274986,0.0,83.0,5,0.1,80
14,14,0.013840055999025935,0.0,89.0,5,0.1,80
15,15,0.014282290998380631,0.0,95.0,5,0.1,80
16,16,0.014715970999532146,0.0,101.0,5,0.1,80
17,17,0.015146508998441277,0.0,107.0,5,0.1,80
18,18,0.015587185996992048,0.0,113.0,5,0.1,80
19,19,0.01603031099875807,0.0,119.0,5,0.1,80
20,20,0.016472358998726122,0.0,125.0,5,0.1,80
21,21,0.016891332998056896,0.0,131.0,5,0.1,80
22,22,0.017318773996521486,0.0,137.0,5,0.1,80
23,23,0.01773482399948989,0.0,143.0,5,0.1,80
24,24,0.01815174500006833,0.0,149.0,5,0.1,80
25,25,0.018568703999335412,0.0,155.0,5,0.1,80
26,26,0.018989279997185804,0.0,161.0,5,0.1,80
27,27,0.019419631997152464,0.0,167.0,5,0.1,80
28,28,0.019826724997983547,0.0,173.0,5,0.1,80
29,29,0.02023230599661474,0.0,179.0,5,0.1,80
30,30,0.02064950699787005,0.0,185.0,5,0.1,80
31,31,0.02107026899830089,0.0,191.0,5,0.1,80
32,32,0.021500636998098344,0.0,197.0,5,0.1,80
33,33,0.02191415400011465,0.0,203.0,5,0.1,80
34,34,0.02235288399970159,0.0,209.0,5,0.1,80
35,35,0.022751938999135746,0.0,215.0,5,0.1,80
36,36,0.023159106000093743,0.0,221.0,5,0.1,80
37,37,0.023568269996758318,0.0,227.0,5,0.1,80
38,38,0.023969276997377165,0.0,233.0,5,0.1,80
39,39,0.02438290799909737,0.0,239.0,5,0.1,80
40,40,0.02477186899704975,0.0,245.0,5,0.1,80
41,41,0.025164509999740403,0.0,251.0,5,0.1,80
42,42,0.025557521999871824,0.0,257.0,5,0.1,80
43,43,0.02596485499816481,0.0,263.0,5,0.1,80
44,44,0.026357271999586374,0.0,269.0,5,0.1,80
45,45,0.02676089199667331,0.0,275.0,5,0.1,80
46,46,0.027159449997270713,0.0,281.0,5,0.1,80
47,47,0.027558923997275997,0.0,287.0,5,0.1,80
48,48,0.027958414997556247,0.0,293.0,5,0.1,80
49,49,0.028362252000079025,0.0,299.0,5,0.1,80
50,50,0.028792736997274915,0.0,305.0,5,0.1,80
51,51,0.02922592599861673,0.0,311.0,5,0.1,80
52,52,0.029659904997970443,0.0,317.0,5,0.1,80
53,53,0.03010418299891171,0.0,323.0,5,0.1,80
54,54,0.030554547996871406,0.0,329.0,5,0.1,80
55,55,0.031015090997243533,0.0,335.0,5,0.1,80
56,56,0.03144831299869111,0.0,341.0,5,0.1,80
57,57,0.031960137999703875,0.0,347.0,5,0.1,80
58,58,0.03250549999938812,0.0,353.0,5,0.1,80
59,59,0.03297214999838616,0.0,359.0,5,0.1,80
60,60,0.0333994629982044,0.0,365.0,5,0.1,80
61,61,0.03382859900011681,0.0,371.0,5,0.1,80
62,62,0.03426853099881555,0.0,377.0,5,0.1,80
63,63,0.0347132459974091,0.0,383.0,5,0.1,80
