,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,0.0,0,0.00021437900068121962,"[2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 0, 2, 0, 2, 2, 0, 0, 2, 1, 0, 1, 1]",25,80,0
1,80,0.0,80,0.0139697039994644,"[2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 0, 2, 0, 2, 2, 0, 0, 2, 1, 0, 1, 1]",25,80,0
2,0,0.0,80,0.020714849000796676,"[1, 2, 0, 1, 0, 0, 2, 1, 2, 2, 1, 0, 0, 1, 0, 1, 1, 2, 1, 2, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 0, 2, 1, 1, 0, 1, 1, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 1]",25,80,1
3,80,0.0,160,0.04123299999992014,"[1, 2, 0, 1, 0, 0, 2, 1, 2, 2, 1, 0, 0, 1, 0, 1, 1, 2, 1, 2, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 0, 2, 1, 1, 0, 1, 1, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 1]",25,80,1
4,0,0.0,160,0.04909735500041279,"[1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 0, 0, 0, 2, 1, 2, 0, 1, 2, 1, 2, 1, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 0, 1, 2, 1, 0, 1, 1, 1, 1, 0]",25,80,2
5,80,0.0,240,0.0698152820004907,"[1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 0, 0, 0, 2, 1, 2, 0, 1, 2, 1, 2, 1, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 0, 1, 2, 1, 0, 1, 1, 1, 1, 0]",25,80,2
6,0,0.0,240,0.0764832140012004,"[0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 2, 1, 0, 0, 2, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 2, 0, 2, 1, 2, 2, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2]",25,80,3
7,80,0.0,320,0.10272553700269782,"[0, 1, 0, 0, 2, 0, 2, 1, 0, 2, 2, 1, 0, 0, 2, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 2, 0, 2, 1, 2, 2, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2]",25,80,3
8,0,0.0,320,0.10929271799977869,"[2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 1, 0, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1]",25,80,4
9,80,20.882857856911787,402,0.138382207001996,"[2, 0, 1, 0, 1, 2, 1, 0, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 1, 0, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1]",25,80,4
10,0,0.0,402,0.14518741800202406,"[1, 1, 2, 2, 2, 0, 2, 0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 1, 1, 2, 0, 2, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",25,80,5
11,80,0.0,482,0.17888340900026378,"[1, 1, 2, 2, 2, 0, 2, 0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 1, 1, 2, 0, 2, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",25,80,5
12,0,0.0,482,0.18592676800108165,"[2, 0, 1, 0, 0, 0, 0, 2, 2, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 0, 0, 2, 0, 1, 2, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1]",25,80,6
13,80,0.0,562,0.22395076000248082,"[2, 0, 1, 0, 0, 0, 0, 2, 2, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 0, 0, 2, 0, 1, 2, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1]",25,80,6
14,0,0.0,562,0.23221316700073658,"[2, 2, 0, 2, 1, 2, 1, 1, 2, 0, 1, 0, 1, 2, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 0, 1, 1, 0, 2, 0, 2, 1, 2, 1, 2, 2, 2, 0, 0, 1, 1, 0, 1, 0, 2, 1, 1, 0, 1]",25,80,7
15,80,0.0,642,0.2782370820023061,"[2, 2, 0, 2, 1, 2, 1, 1, 2, 0, 1, 0, 1, 2, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 0, 1, 1, 0, 2, 0, 2, 1, 2, 1, 2, 2, 2, 0, 0, 1, 1, 0, 1, 0, 2, 1, 1, 0, 1]",25,80,7
16,0,0.0,642,0.28685851100090076,"[0, 1, 2, 1, 2, 0, 2, 1, 0, 1, 1, 2, 1, 2, 0, 2, 0, 2, 1, 2, 2, 0, 1, 2, 1, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 0, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 1, 0, 0]",25,80,8
17,80,0.0,722,0.3348176079998666,"[0, 1, 2, 1, 2, 0, 2, 1, 0, 1, 1, 2, 1, 2, 0, 2, 0, 2, 1, 2, 2, 0, 1, 2, 1, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 0, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 1, 0, 0]",25,80,8
18,0,0.0,722,0.3435989490026259,"[0, 0, 1, 0, 1, 0, 2, 1, 2, 1, 2, 0, 0, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 0, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 0, 0]",25,80,9
19,80,0.0,802,0.3965267630010203,"[0, 0, 1, 0, 1, 0, 2, 1, 2, 1, 2, 0, 0, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 0, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 0, 0]",25,80,9
20,0,0.0,802,0.40503963100127294,"[0, 1, 0, 2, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 2, 1, 2, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",25,80,10
