,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00019458499809843488,0.0,0.0,1,80
1,1,0.007953410997288302,0.0,2.0,1,80
2,2,0.008073656998021761,0.0,4.0,1,80
3,3,0.008152738999342546,0.0,6.0,1,80
4,4,0.008226252997701522,0.0,8.0,1,80
5,5,0.008301832000142895,0.0,10.0,1,80
6,6,0.008375714998692274,0.0,12.0,1,80
7,7,0.008450344997982029,0.0,14.0,1,80
8,8,0.008530621998943388,0.0,16.0,1,80
9,9,0.008607997999206418,0.0,18.0,1,80
10,10,0.008685623997735092,0.0,20.0,1,80
11,11,0.008813876997010084,0.0,22.0,1,80
12,12,0.008938382998167071,0.0,24.0,1,80
13,13,0.00902735300041968,0.0,26.0,1,80
14,14,0.009111343999393284,0.0,28.0,1,80
15,15,0.009194197999022435,0.0,30.0,1,80
16,16,0.009275614000216592,0.0,32.0,1,80
17,17,0.009358980998513289,0.0,34.0,1,80
18,18,0.009442326998396311,0.0,36.0,1,80
19,19,0.009525993998977356,0.0,38.0,1,80
20,20,0.009611563000362366,0.0,40.0,1,80
21,21,0.00969776299825753,0.0,42.0,1,80
22,22,0.0097850149977603,0.0,44.0,1,80
23,23,0.009886812997137895,0.0,46.0,1,80
24,24,0.00997295699926326,0.0,48.0,1,80
25,25,0.010060677999717882,0.0,50.0,1,80
26,26,0.010150332000193885,0.0,52.0,1,80
27,27,0.010239224997349083,0.0,54.0,1,80
28,28,0.010329538999940269,0.0,56.0,1,80
29,29,0.010420984999655047,0.0,58.0,1,80
30,30,0.010513552999327658,0.0,60.0,1,80
31,31,0.010606964999169577,0.0,62.0,1,80
32,32,0.010701166997023392,0.0,64.0,1,80
33,33,0.010795173999213148,0.0,66.0,1,80
34,34,0.01088996599719394,0.0,68.0,1,80
35,35,0.010986338998918654,0.0,70.0,1,80
36,36,0.011084103000030154,0.0,72.0,1,80
37,37,0.01118197399773635,0.0,74.0,1,80
38,38,0.011281147999397945,0.0,76.0,1,80
39,39,0.011380676998669514,0.0,78.0,1,80
40,40,0.011481605997687439,0.0,80.0,1,80
41,41,0.011583090999920387,0.0,82.0,1,80
42,42,0.011687047997838818,0.0,84.0,1,80
43,43,0.011791470999014564,0.0,86.0,1,80
44,44,0.011897718999534845,0.0,88.0,1,80
45,45,0.012007342997094383,0.0,90.0,1,80
46,46,0.012114594999729889,0.0,92.0,1,80
47,47,0.012222792996908538,0.0,94.0,1,80
48,48,0.012463980998290936,0.0,96.0,1,80
49,49,0.012676676000410225,0.0,98.0,1,80
50,50,0.012836629997764248,0.0,100.0,1,80
51,51,0.012969924999197247,0.0,102.0,1,80
52,52,0.013084645997878397,0.0,104.0,1,80
53,53,0.013197830998251447,0.0,106.0,1,80
54,54,0.01331073099936475,0.0,108.0,1,80
55,55,0.013424905999272596,0.0,110.0,1,80
56,56,0.01353906599979382,0.0,112.0,1,80
57,57,0.013654526999744121,0.0,114.0,1,80
58,58,0.013769752000371227,0.0,116.0,1,80
59,59,0.013905664996855194,0.0,118.0,1,80
60,60,0.014026469998498214,0.0,120.0,1,80
61,61,0.014148379999824101,0.0,122.0,1,80
62,62,0.014270255000155885,0.0,124.0,1,80
63,63,0.01439335199756897,0.0,126.0,1,80
64,64,0.014518789997964632,0.0,128.0,1,80
65,65,0.01464662199941813,0.0,130.0,1,80
66,66,0.014779380999243585,0.0,132.0,1,80
67,67,0.014919237997673918,0.0,134.0,1,80
68,68,0.015043360999698052,0.0,136.0,1,80
69,69,0.015168423997238278,0.0,138.0,1,80
70,70,0.015294335997168673,0.0,140.0,1,80
71,71,0.015421268999489257,0.0,142.0,1,80
72,72,0.015549088999250671,0.0,144.0,1,80
73,73,0.01568277600017609,0.0,146.0,1,80
74,74,0.01581476899809786,0.0,148.0,1,80
75,75,0.015946133997204015,0.0,150.0,1,80
76,76,0.01607652099846746,0.0,152.0,1,80
77,77,0.016208501998335123,0.0,154.0,1,80
78,78,0.016340914997272193,0.0,156.0,1,80
79,79,0.016475071999593638,0.0,158.0,1,80
80,80,0.016609755999525078,0.0,160.0,1,80
81,0,0.00019458499809843488,0.0,0.0,10,80
82,1,0.007953410997288302,0.0,2.0,10,80
83,2,0.008073656998021761,0.0,4.0,10,80
84,3,0.008152738999342546,0.0,6.0,10,80
85,4,0.008226252997701522,0.0,8.0,10,80
86,5,0.008301832000142895,0.0,10.0,10,80
87,6,0.008375714998692274,0.0,12.0,10,80
88,7,0.008450344997982029,0.0,14.0,10,80
89,8,0.008530621998943388,0.0,16.0,10,80
